"chromosome","start","end","width","strand","metadata_name","metadata_score","OriginalOrder","ClusterID","SortingOrder","FinalOrder"
"chrI",4645637,4647198,1562,"-","WBGene00004415",71.1258,125,1,125,78
"chrI",4645637,4646964,1328,"-","WBGene00004415",71.1258,126,1,126,79
"chrI",4645637,4647198,1562,"-","WBGene00004415",71.1258,127,1,127,80
"chrI",14468309,14469342,1034,"-","WBGene00004489",69.8158,130,1,130,81
"chrI",14468309,14469342,1034,"-","WBGene00004489",69.8158,131,1,131,82
"chrIII",3502824,3503711,888,"-","WBGene00004428",69.5477,132,1,132,83
"chrI",13652927,13653897,971,"-","WBGene00004445",67.6405,133,1,133,84
"chrI",13652927,13653896,970,"-","WBGene00004445",67.6405,134,1,134,85
"chrI",13652927,13653692,766,"-","WBGene00004445",67.6405,135,1,135,86
"chrI",13652927,13653694,768,"-","WBGene00004445",67.6405,136,1,136,87
"chrI",13652927,13653900,974,"-","WBGene00004445",67.6405,137,1,137,88
"chrI",9163524,9166945,3422,"+","WBGene00001167",66.8417,138,1,138,89
"chrI",9163524,9166945,3422,"+","WBGene00001167",66.8417,139,1,139,90
"chrI",8815506,8816513,1008,"-","WBGene00004484",66.7631,141,1,141,91
"chrI",8815506,8816482,977,"-","WBGene00004484",66.7631,142,1,142,92
"chrI",8815506,8816514,1009,"-","WBGene00004484",66.7631,143,1,143,93
"chrIII",5228178,5230505,2328,"+","WBGene00000229",64.5892,144,1,144,94
"chrIII",5228175,5230505,2331,"+","WBGene00000229",64.5892,145,1,145,95
"chrIII",5228181,5230505,2325,"+","WBGene00000229",64.5892,146,1,146,96
"chrI",6789061,6790053,993,"-","WBGene00016493",64.5087,147,1,147,97
"chrII",7105196,7106420,1225,"+","WBGene00004447",63.1851,148,1,148,98
"chrII",7105203,7106420,1218,"+","WBGene00004447",63.1851,149,1,149,99
"chrI",4583874,4584802,929,"-","WBGene00004479",62.2551,150,1,150,100
"chrI",4583874,4584516,643,"-","WBGene00004479",62.2551,151,1,151,101
"chrI",4583874,4584528,655,"-","WBGene00004479",62.2551,152,1,152,102
"chrIII",5679134,5680142,1009,"+","WBGene00004481",61.8891,153,1,153,103
"chrIII",5679164,5680142,979,"+","WBGene00004481",61.8891,154,1,154,104
"chrIII",5679194,5680142,949,"+","WBGene00004481",61.8891,155,1,155,105
"chrII",14154549,14155611,1063,"+","WBGene00004456",60.7136,159,1,159,106
"chrII",14154523,14155611,1089,"+","WBGene00004456",60.7136,160,1,160,107
"chrII",14155205,14155611,407,"+","WBGene00004456",60.7136,161,1,161,108
"chrII",14154550,14155611,1062,"+","WBGene00004456",60.7136,162,1,162,109
"chrI",10553101,10553902,802,"-","WBGene00009119",58.0329,168,1,168,110
"chrI",10553101,10553902,802,"-","WBGene00009119",58.0329,169,1,169,111
"chrI",12652267,12654636,2370,"+","WBGene00010419",57.3205,170,1,170,112
"chrI",12652267,12654636,2370,"+","WBGene00010419",57.3205,171,1,171,113
"chrIII",6374041,6375056,1016,"-","WBGene00004482",53.0813,176,1,176,114
"chrIII",6374041,6375063,1023,"-","WBGene00004482",53.0813,177,1,177,115
"chrIII",6374041,6375057,1017,"-","WBGene00004482",53.0813,178,1,178,116
"chrII",9967211,9968406,1196,"-","WBGene00011273",46.4901,191,1,191,117
"chrII",9967211,9968443,1233,"-","WBGene00011273",46.4901,192,1,192,118
"chrII",9967211,9968439,1229,"-","WBGene00011273",46.4901,193,1,193,119
"chrIII",1950482,1951418,937,"+","WBGene00004491",44.9764,196,1,196,120
"chrIII",1950483,1951418,936,"+","WBGene00004491",44.9764,197,1,197,121
"chrI",7015907,7021742,5836,"-","WBGene00003964",43.1788,202,1,202,122
"chrII",5377938,5379619,1682,"+","WBGene00006434",41.2111,205,1,205,123
"chrII",5377944,5379619,1676,"+","WBGene00006434",41.2111,206,1,206,124
"chrII",5377939,5379619,1681,"+","WBGene00006434",41.2111,207,1,207,125
"chrII",5378046,5379619,1574,"+","WBGene00006434",41.2111,208,1,208,126
"chrII",5377544,5379619,2076,"+","WBGene00006434",41.2111,209,1,209,127
"chrIV",6790668,6792450,1783,"+","WBGene00006917",41.2018,210,1,210,128
"chrIV",6790678,6792450,1773,"+","WBGene00006917",41.2018,211,1,211,129
"chrI",14759585,14760652,1068,"+","WBGene00004495",40.9714,213,1,213,130
"chrI",14759907,14760652,746,"+","WBGene00004495",40.9714,214,1,214,131
"chrI",14759586,14760652,1067,"+","WBGene00004495",40.9714,215,1,215,132
"chrI",10432806,10435867,3062,"-","WBGene00003902",40.1345,216,1,216,133
"chrI",10432806,10435867,3062,"-","WBGene00003902",40.1345,217,1,217,134
"chrIII",10214723,10216734,2012,"-","WBGene00000833",37.9636,222,1,222,135
"chrIII",10214723,10216700,1978,"-","WBGene00000833",37.9636,223,1,223,136
"chrIII",10214723,10216735,2013,"-","WBGene00000833",37.9636,224,1,224,137
"chrII",1320678,1323177,2500,"+","WBGene00006924",36.6229,229,1,229,138
"chrIV",2495361,2497682,2322,"+","WBGene00022089",34.8501,230,1,230,139
"chrIV",2495403,2497682,2280,"+","WBGene00022089",34.8501,231,1,231,140
"chrIV",4389128,4390624,1497,"-","WBGene00004419",33.3797,234,1,234,141
"chrIV",4389128,4390624,1497,"-","WBGene00004419",33.3797,235,1,235,142
"chrIV",9321473,9322511,1039,"+","WBGene00009882",32.8016,242,1,242,143
"chrIV",9321274,9322511,1238,"+","WBGene00009882",32.8016,243,1,243,144
"chrIV",9321474,9322511,1038,"+","WBGene00009882",32.8016,244,1,244,145
"chrII",14815088,14816136,1049,"+","WBGene00012179",31.677,256,1,256,146
"chrII",14815099,14816136,1038,"+","WBGene00012179",31.677,257,1,257,147
"chrIII",6929725,6931898,2174,"+","WBGene00002083",29.916,265,1,265,148
"chrI",5428546,5429911,1366,"-","WBGene00000230",29.1604,271,1,271,149
"chrI",5428546,5429911,1366,"-","WBGene00000230",29.1604,272,1,272,150
"chrIV",11119323,11123133,3811,"+","WBGene00011480",29.1199,273,1,273,151
"chrIV",11119323,11123133,3811,"+","WBGene00011480",29.1199,274,1,274,152
"chrII",8930923,8933737,2815,"+","WBGene00011884",25.7761,286,1,286,153
"chrIV",8377692,8379446,1755,"-","WBGene00017075",25.4314,292,1,292,154
"chrIV",8377692,8379433,1742,"-","WBGene00017075",25.4314,293,1,293,155
"chrIV",8377692,8379449,1758,"-","WBGene00017075",25.4314,294,1,294,156
"chrIII",7972317,7973321,1005,"-","WBGene00018846",25.1694,297,1,297,157
"chrIII",7972317,7973321,1005,"-","WBGene00018846",25.1694,298,1,298,158
"chrIII",9751355,9752883,1529,"-","WBGene00001155",24.9475,303,1,303,159
"chrIII",9751355,9752837,1483,"-","WBGene00001155",24.9475,304,1,304,160
"chrIV",14822500,14825146,2647,"-","WBGene00013311",24.7125,306,1,306,161
"chrIV",14822500,14825169,2670,"-","WBGene00013311",24.7125,307,1,307,162
"chrIV",13369400,13370467,1068,"-","WBGene00004410",24.3372,318,1,318,163
"chrIV",13369400,13370459,1060,"-","WBGene00004410",24.3372,319,1,319,164
"chrIV",13369400,13370460,1061,"-","WBGene00004410",24.3372,320,1,320,165
"chrII",700481,701541,1061,"-","WBGene00020181",24.1906,328,1,328,166
"chrII",700481,701524,1044,"-","WBGene00020181",24.1906,329,1,329,167
"chrII",6346925,6348483,1559,"-","WBGene00002980",23.4021,335,1,335,168
"chrIV",8133775,8136252,2478,"-","WBGene00002162",22.6207,338,1,338,169
"chrIV",8133775,8136253,2479,"-","WBGene00002162",22.6207,339,1,339,170
"chrIII",11920423,11921518,1096,"+","WBGene00013238",22.4456,345,1,345,171
"chrIII",11920424,11921518,1095,"+","WBGene00013238",22.4456,346,1,346,172
"chrI",15040416,15041263,848,"-","WBGene00000881",22.2179,349,1,349,173
"chrIII",4015748,4019947,4200,"-","WBGene00006537",20.2434,358,1,358,174
"chrIII",909979,910986,1008,"-","WBGene00000263",19.8131,367,1,367,175
"chrIII",909979,910984,1006,"-","WBGene00000263",19.8131,368,1,368,176
"chrIII",909979,910950,972,"-","WBGene00000263",19.8131,369,1,369,177
"chrI",9772693,9774003,1311,"+","WBGene00009161",19.5908,370,1,370,178
"chrI",9772700,9774003,1304,"+","WBGene00009161",19.5908,371,1,371,179
"chrI",9773161,9774003,843,"+","WBGene00009161",19.5908,372,1,372,180
"chrIII",10746242,10748052,1811,"-","WBGene00004302",19.4752,373,1,373,181
"chrIII",10746242,10748020,1779,"-","WBGene00004302",19.4752,374,1,374,182
"chrIII",10746242,10747629,1388,"-","WBGene00004302",19.4752,375,1,375,183
"chrIII",10337746,10339341,1596,"+","WBGene00011561",19.0775,378,1,378,184
"chrIII",10337746,10339341,1596,"+","WBGene00011561",19.0775,379,1,379,185
"chrII",10657962,10658802,841,"-","WBGene00010896",19.0265,380,1,380,186
"chrII",10657962,10658803,842,"-","WBGene00010896",19.0265,381,1,381,187
"chrII",10657962,10658803,842,"-","WBGene00010896",19.0265,382,1,382,188
"chrIII",1617144,1619036,1893,"-","WBGene00021248",18.8727,383,1,383,189
"chrIII",1617144,1619031,1888,"-","WBGene00021248",18.8727,384,1,384,190
"chrI",2928251,2929681,1431,"+","WBGene00022122",18.044,390,1,390,191
"chrI",2928256,2929681,1426,"+","WBGene00022122",18.044,391,1,391,192
"chrI",12964668,12966865,2198,"-","WBGene00006529",17.5953,397,1,397,193
"chrI",12964668,12966865,2198,"-","WBGene00006529",17.5953,398,1,398,194
"chrIII",9780767,9781971,1205,"+","WBGene00006910",16.5512,409,1,409,195
"chrII",9886479,9892517,6039,"-","WBGene00007463",16.4205,412,1,412,196
"chrII",9886479,9892518,6040,"-","WBGene00007463",16.4205,414,1,414,197
"chrIII",5591941,5594744,2804,"+","WBGene00018963",16.3368,415,1,415,198
"chrIII",5591977,5594744,2768,"+","WBGene00018963",16.3368,416,1,416,199
"chrIII",5591938,5594744,2807,"+","WBGene00018963",16.3368,417,1,417,200
"chrIII",5081234,5082969,1736,"+","WBGene00006519",16.2958,418,1,418,201
"chrIII",5081235,5082969,1735,"+","WBGene00006519",16.2958,419,1,419,202
"chrII",5690116,5691510,1395,"-","WBGene00016118",16.1707,421,1,421,203
"chrII",5690116,5691511,1396,"-","WBGene00016118",16.1707,422,1,422,204
"chrI",108686,110691,2006,"-","WBGene00004274",15.976,426,1,426,205
"chrI",108686,110077,1392,"-","WBGene00004274",15.976,427,1,427,206
"chrI",108686,110093,1408,"-","WBGene00004274",15.976,428,1,428,207
"chrI",11930716,11931750,1035,"+","WBGene00011059",15.9706,429,1,429,208
"chrI",11930716,11931750,1035,"+","WBGene00011059",15.9706,430,1,430,209
"chrI",4635716,4637329,1614,"-","WBGene00016655",15.9449,431,1,431,210
"chrIV",2388193,2389040,848,"-","WBGene00021427",15.8238,435,1,435,211
"chrIV",2388193,2389036,844,"-","WBGene00021427",15.8238,436,1,436,212
"chrI",11910319,11911012,694,"-","WBGene00011156",15.7885,437,1,437,213
"chrI",11910319,11911012,694,"-","WBGene00011156",15.7885,438,1,438,214
"chrIII",2786109,2786851,743,"+","WBGene00022170",15.529,447,1,447,215
"chrIII",6338456,6340176,1721,"-","WBGene00002891",15.5205,448,1,448,216
"chrIV",4083581,4085934,2354,"-","WBGene00016435",14.7955,452,1,452,217
"chrIV",4083581,4084900,1320,"-","WBGene00016435",14.7955,453,1,453,218
"chrIV",4083581,4085149,1569,"-","WBGene00016435",14.7955,455,1,455,219
"chrI",2876835,2878519,1685,"+","WBGene00022114",14.6982,456,1,456,220
"chrI",2876570,2878519,1950,"+","WBGene00022114",14.6982,457,1,457,221
"chrI",2876709,2878519,1811,"+","WBGene00022114",14.6982,458,1,458,222
"chrI",2876839,2878519,1681,"+","WBGene00022114",14.6982,459,1,459,223
"chrI",2876934,2878519,1586,"+","WBGene00022114",14.6982,460,1,460,224
"chrI",2876571,2878519,1949,"+","WBGene00022114",14.6982,461,1,461,225
"chrIII",7180506,7182011,1506,"+","WBGene00018151",14.6025,463,1,463,226
"chrIII",7180668,7182011,1344,"+","WBGene00018151",14.6025,464,1,464,227
"chrIII",10740766,10742564,1799,"-","WBGene00006536",14.2838,466,1,466,228
"chrIII",10740766,10742362,1597,"-","WBGene00006536",14.2838,467,1,467,229
"chrIII",10740766,10742534,1769,"-","WBGene00006536",14.2838,468,1,468,230
"chrIV",11652185,11653438,1254,"+","WBGene00014086",14.0764,469,1,469,231
"chrIV",11652176,11653438,1263,"+","WBGene00014086",14.0764,470,1,470,232
"chrII",12036767,12042106,5340,"-","WBGene00006601",13.5954,476,1,476,233
"chrII",6251025,6252975,1951,"+","WBGene00004015",13.5421,480,1,480,234
"chrII",6251034,6252975,1942,"+","WBGene00004015",13.5421,481,1,481,235
"chrII",6251049,6252975,1927,"+","WBGene00004015",13.5421,482,1,482,236
"chrIII",1619231,1625911,6681,"+","WBGene00002025",13.3249,484,1,484,237
"chrIII",1619250,1625911,6662,"+","WBGene00002025",13.3249,485,1,485,238
"chrIII",1619599,1625911,6313,"+","WBGene00002025",13.3249,486,1,486,239
"chrI",7068111,7069241,1131,"-","WBGene00012166",13.2696,489,1,489,240
"chrI",7068111,7069233,1123,"-","WBGene00012166",13.2696,490,1,490,241
"chrIII",5273567,5275087,1521,"-","WBGene00022599",13.2049,491,1,491,242
"chrIII",5273567,5274907,1341,"-","WBGene00022599",13.2049,492,1,492,243
"chrIII",5273567,5275079,1513,"-","WBGene00022599",13.2049,493,1,493,244
"chrIV",4810578,4811973,1396,"+","WBGene00019162",13.0223,494,1,494,245
"chrIV",4810615,4811973,1359,"+","WBGene00019162",13.0223,495,1,495,246
"chrI",8022680,8024688,2009,"-","WBGene00000869",12.5964,502,1,502,247
"chrI",2070981,2072550,1570,"+","WBGene00004014",12.5284,503,1,503,248
"chrIV",126340,127636,1297,"+","WBGene00017926",12.0583,510,1,510,249
"chrIV",126533,127636,1104,"+","WBGene00017926",12.0583,511,1,511,250
"chrIV",126580,127636,1057,"+","WBGene00017926",12.0583,512,1,512,251
"chrIII",4193795,4195330,1536,"+","WBGene00006959",11.9862,514,1,514,252
"chrIII",4193795,4195330,1536,"+","WBGene00006959",11.9862,515,1,515,253
"chrII",9350593,9352742,2150,"-","WBGene00006433",11.9382,518,1,518,254
"chrII",9350593,9352779,2187,"-","WBGene00006433",11.9382,519,1,519,255
"chrIII",9745779,9747227,1449,"-","WBGene00002064",11.8786,523,1,523,256
"chrIII",9745779,9747204,1426,"-","WBGene00002064",11.8786,524,1,524,257
"chrIII",9058826,9060106,1281,"+","WBGene00001749",10.8759,551,1,551,258
"chrII",7773828,7778139,4312,"-","WBGene00015512",10.6736,555,1,555,259
"chrII",11097783,11100087,2305,"+","WBGene00003831",10.5474,558,1,558,260
"chrI",10733845,10736596,2752,"+","WBGene00002191",10.27,562,1,562,261
"chrI",10733849,10736596,2748,"+","WBGene00002191",10.27,563,1,563,262
"chrI",10733846,10736596,2751,"+","WBGene00002191",10.27,564,1,564,263
"chrIII",10334173,10335087,915,"+","WBGene00003225",9.98061,571,1,571,264
"chrIV",8286573,8289704,3132,"-","WBGene00019510",9.96765,574,1,574,265
"chrIV",8286573,8289699,3127,"-","WBGene00019510",9.96765,575,1,575,266
"chrIII",6207838,6209091,1254,"+","WBGene00016011",9.91814,580,1,580,267
"chrIII",6208010,6209091,1082,"+","WBGene00016011",9.91814,581,1,581,268
"chrIII",10866847,10869008,2162,"-","WBGene00000475",9.84781,589,1,589,269
"chrIII",10866847,10869009,2163,"-","WBGene00000475",9.84781,590,1,590,270
"chrIII",13457573,13462226,4654,"-","WBGene00012097",9.81639,591,1,591,271
"chrII",4706583,4710166,3584,"+","WBGene00006626",9.7539,593,1,593,272
"chrII",4706590,4710166,3577,"+","WBGene00006626",9.7539,594,1,594,273
"chrIV",11020424,11021265,842,"+","WBGene00044784",9.6039,615,1,615,274
"chrIV",11020425,11021265,841,"+","WBGene00044784",9.6039,616,1,616,275
"chrIV",11020461,11021265,805,"+","WBGene00044784",9.6039,617,1,617,276
"chrIII",9467272,9467982,711,"+","WBGene00000235",9.59114,618,1,618,277
"chrIII",9467284,9467982,699,"+","WBGene00000235",9.59114,619,1,619,278
"chrIII",9467285,9467982,698,"+","WBGene00000235",9.59114,620,1,620,279
"chrIII",9467366,9467982,617,"+","WBGene00000235",9.59114,621,1,621,280
"chrIII",7973398,7977260,3863,"+","WBGene00000041",9.58203,622,1,622,281
"chrIII",7973440,7977260,3821,"+","WBGene00000041",9.58203,623,1,623,282
"chrIII",7973441,7977260,3820,"+","WBGene00000041",9.58203,624,1,624,283
"chrIII",7973652,7977260,3609,"+","WBGene00000041",9.58203,625,1,625,284
"chrI",7314593,7318657,4065,"+","WBGene00009915",9.54802,626,1,626,285
"chrI",7345940,7347372,1433,"-","WBGene00009918",9.48556,630,1,630,286
"chrI",7345940,7347372,1433,"-","WBGene00009918",9.48556,631,1,631,287
"chrII",8964176,8964927,752,"-","WBGene00007684",9.23051,636,1,636,288
"chrII",8964176,8964935,760,"-","WBGene00007684",9.23051,637,1,637,289
"chrII",8964176,8964939,764,"-","WBGene00007684",9.23051,638,1,638,290
"chrII",8964176,8964913,738,"-","WBGene00007684",9.23051,639,1,639,291
"chrIV",762412,763678,1267,"-","WBGene00000677",9.11207,648,1,648,292
"chrIV",762412,763707,1296,"-","WBGene00000677",9.11207,649,1,649,293
"chrIII",11915046,11915716,671,"-","WBGene00013237",9.03287,651,1,651,294
"chrIII",11915046,11915717,672,"-","WBGene00013237",9.03287,652,1,652,295
"chrIV",8128740,8130456,1717,"-","WBGene00018361",8.99383,653,1,653,296
"chrIV",8128740,8130242,1503,"-","WBGene00018361",8.99383,654,1,654,297
"chrI",8606398,8608832,2435,"-","WBGene00009664",8.9834,655,1,655,298
"chrI",8606398,8608786,2389,"-","WBGene00009664",8.9834,656,1,656,299
"chrII",7350076,7352615,2540,"-","WBGene00002008",8.97235,657,1,657,300
"chrII",7350076,7352593,2518,"-","WBGene00002008",8.97235,658,1,658,301
"chrII",7350076,7352616,2541,"-","WBGene00002008",8.97235,659,1,659,302
"chrII",7350076,7352786,2711,"-","WBGene00002008",8.97235,660,1,660,303
"chrIV",4386557,4388873,2317,"+","WBGene00021286",8.96475,661,1,661,304
"chrIV",4386618,4388873,2256,"+","WBGene00021286",8.96475,662,1,662,305
"chrII",8283423,8285661,2239,"+","WBGene00000379",8.90474,663,1,663,306
"chrII",8283431,8285661,2231,"+","WBGene00000379",8.90474,664,1,664,307
"chrIV",9319363,9320127,765,"+","WBGene00009880",8.90407,665,1,665,308
"chrIII",5855994,5859141,3148,"+","WBGene00000115",8.89897,666,1,666,309
"chrI",3001349,3002851,1503,"-","WBGene00021839",8.80406,673,1,673,310
"chrII",7372553,7374129,1577,"-","WBGene00018395",8.78217,674,1,674,311
"chrII",7372553,7374235,1683,"-","WBGene00018395",8.78217,675,1,675,312
"chrII",11343652,11345683,2032,"-","WBGene00007192",8.7123,682,1,682,313
"chrII",11343652,11345731,2080,"-","WBGene00007192",8.7123,683,1,683,314
"chrII",11343652,11345684,2033,"-","WBGene00007192",8.7123,684,1,684,315
"chrII",9617427,9624214,6788,"-","WBGene00001038",8.69707,685,1,685,316
"chrII",9617427,9624117,6691,"-","WBGene00001038",8.69707,686,1,686,317
"chrII",9617427,9624216,6790,"-","WBGene00001038",8.69707,687,1,687,318
"chrIII",9489078,9491217,2140,"-","WBGene00001094",8.57079,704,1,704,319
"chrIII",9489078,9491221,2144,"-","WBGene00001094",8.57079,705,1,705,320
"chrI",9167495,9177490,9996,"+","WBGene00009126",8.5675,706,1,706,321
"chrI",9167443,9177490,10048,"+","WBGene00009126",8.5675,707,1,707,322
"chrIII",13462138,13462654,517,"-","WBGene00012094",8.56287,710,1,710,323
"chrIII",13462138,13462715,578,"-","WBGene00012094",8.56287,711,1,711,324
"chrII",8185229,8187551,2323,"+","WBGene00000377",8.55337,712,1,712,325
"chrII",8185237,8187551,2315,"+","WBGene00000377",8.55337,713,1,713,326
"chrI",7580933,7581848,916,"-","WBGene00008414",8.46507,723,1,723,327
"chrII",7863987,7866207,2221,"+","WBGene00011638",8.15713,733,1,733,328
"chrII",7863988,7866207,2220,"+","WBGene00011638",8.15713,734,1,734,329
"chrII",7864022,7866207,2186,"+","WBGene00011638",8.15713,735,1,735,330
"chrIII",5853488,5855855,2368,"-","WBGene00000381",8.12329,740,1,740,331
"chrIII",5853488,5855884,2397,"-","WBGene00000381",8.12329,741,1,741,332
"chrIII",5853488,5855853,2366,"-","WBGene00000381",8.12329,742,1,742,333
"chrIII",5948764,5953523,4760,"+","WBGene00017775",8.02124,747,1,747,334
"chrIII",5948744,5953523,4780,"+","WBGene00017775",8.02124,748,1,748,335
"chrIII",5948643,5953523,4881,"+","WBGene00017775",8.02124,749,1,749,336
"chrIII",5948693,5953523,4831,"+","WBGene00017775",8.02124,750,1,750,337
"chrIII",5948843,5953523,4681,"+","WBGene00017775",8.02124,751,1,751,338
"chrI",8288952,8291131,2180,"-","WBGene00002196",7.95301,757,1,757,339
"chrI",8288952,8291124,2173,"-","WBGene00002196",7.95301,758,1,758,340
"chrI",8288952,8291116,2165,"-","WBGene00002196",7.95301,759,1,759,341
"chrI",9976420,9979828,3409,"-","WBGene00001226",7.89838,768,1,768,342
"chrI",9976420,9979841,3422,"-","WBGene00001226",7.89838,769,1,769,343
"chrII",12678641,12679335,695,"+","WBGene00012602",7.82246,773,1,773,344
"chrII",9416837,9418260,1424,"+","WBGene00010942",7.79188,774,1,774,345
"chrII",9416935,9418260,1326,"+","WBGene00010942",7.79188,775,1,775,346
"chrI",2726658,2727547,890,"+","WBGene00004920",7.73848,778,1,778,347
